Terminatphilippe,DonutsBG,Terminatphilippe,,,1700168351446,[Gen 7] IF Dex AG,donutsbg-terminatphilippe-1700168351446,75c719aa10c6d6590cc940e18ff69908
PlooshieBaird,PlooshieBaird,Henudiso,,,1700169201905,[Gen 7] IF Dex OU,plooshiebaird-henudiso-1700169201903,58b86371b435260024c2af64bf1afd08
sylvee_kiwi,sylvee_kiwi,jjflop40fish,,,1700169350285,[Gen 7] IF Dex Doubles,sylveekiwi-jjflop40fish-1700169350284,aa3d38c98950d7ec06bc0c0c78b3dc66
ItsEmily,ItsEmily,Ponap-sys,,,1700169705171,[Gen 7] IF Dex OU,itsemily-ponapsys-1700169705170,f070d19a58b7cd8444471f512bd69656
FenniGirl,SentimentalRotom,FenniGirl,,,1700170133997,[Gen 7] IF Dex OU,sentimentalrotom-fennigirl-1700170133997,14f25d2d410e0aac4945af0cbc737984
Littlemxdoom,sylvee_kiwi,Littlemxdoom,,,1700170645719,[Gen 7] IF Dex Doubles,sylveekiwi-littlemxdoom-1700170645719,023efc0ab904c649d6dee0d4d9a6fddf
infinite Headshots,infinite Headshots,Twindragon22,,,1700171231448,[Gen 7] IF Dex AG,infiniteheadshots-twindragon22-1700171231448,2a3dbd2d710bfb469785764d2957adc2
Milian1,TheFusedSkeleton,Milian1,,,1700171956235,[Gen 7] IF Dex OU,thefusedskeleton-milian1-1700171956234,7a77d6810530ddf784e320820a7dc740
sylvee_kiwi,hifunman,sylvee_kiwi,,,1700172448230,[Gen 7] IF Dex Doubles,hifunman-sylveekiwi-1700172448229,66a09dac8b58f2581a3bddddfbb1d28e
Littlemxdoom,Littlemxdoom,sylvee_kiwi,,,1700173063618,[Gen 7] IF Dex Doubles,littlemxdoom-sylveekiwi-1700173063618,f5c865a1bcf29ead319ac6b416d49d18
TheFusedSkeleton,TheFusedSkeleton,Boopa,,,1700173286799,[Gen 7] IF Dex OU,thefusedskeleton-boopa-1700173286798,f31a62106523b15aa84821ea400a1e79
sylvee_kiwi,sylvee_kiwi,LimeIs4Slime,,,1700173746440,[Gen 7] IF Dex Doubles,sylveekiwi-limeis4slime-1700173746440,a6832531f646ead5dae835283164d564
SonderOfAll,SonderOfAll,ItsEmily,,,1700174583835,[Gen 7] IF Dex OU,sonderofall-itsemily-1700174583835,725132a85ef458ef6fb7c0ace883ad11
ItsEmily,ItsEmily,sergiovicenteg3,,,1700174890465,[Gen 7] IF Dex OU,itsemily-sergiovicenteg3-1700174890464,5a976cb66d857974a2fccbab5b6e9ee6
dialgafusionfan,dialgafusionfan,DarkHollow159,,,1700175368443,[Gen 7] IF Dex AG,dialgafusionfan-darkhollow159-1700175368442,f0f9817676eae0cc34dc35316f6a97df
CryoChick,CryoChick,DocteurOrangOutan,,,1700175531820,[Gen 7] IF Dex AG,cryochick-docteurorangoutan-1700175531819,8e1ff8bdebbefe34008713fe1a5fa75e
Littlemxdoom,the_shawdoin,Littlemxdoom,,,1700176532451,[Gen 9] IF NatDex Doubles,theshawdoin-littlemxdoom-1700176532451,f780b33833e48163563966cf11ad522c
The Ice Age Master,ZeldaSheldon,The Ice Age Master,,,1700176829496,[Gen 9] IF NatDex AG,zeldasheldon-theiceagemaster-1700176829496,528711b9dd62b68cb93b6e7ad90ed43a
HUEnd,Iceasaurus,HUEnd,,,1700177321745,[Gen 7] IF Dex AG,iceasaurus-huend-1700177321745,502791df9b56a17d253e696c5a4df862
0rc4n0s13,cheeto squid,0rc4n0s13,,,1700177335595,[Gen 7] IF Dex OU,cheetosquid-0rc4n0s13-1700177335594,4071ff069cf2792f6a3b5868f2533ee8
PlooshieBaird,Cloudstreef,PlooshieBaird,,,1700177910194,[Gen 7] IF Dex OU,cloudstreef-plooshiebaird-1700177910194,22374273d1f74e4d5aa0307e6442dc55
0rc4n0s13,SmashMania,0rc4n0s13,,,1700178028798,[Gen 7] IF Dex OU,smashmania-0rc4n0s13-1700178028798,21f8953fefc07dced7dc4364c6ceb36d
The Ice Age Master,The Ice Age Master,Lng1234,,,1700178097602,[Gen 9] IF NatDex AG,theiceagemaster-lng1234-1700178097602,e1528b97da7d9cd95463fdd9612d38cd
0rc4n0s13,0rc4n0s13,MrOakwood,,,1700178664365,[Gen 7] IF Dex OU,0rc4n0s13-mroakwood-1700178664364,6e270ea55064c598ee887d16d9a2814d
Low-Key-G-Mazing,Low-Key-G-Mazing,0rc4n0s13,,,1700178760867,[Gen 7] IF Dex OU,lowkeygmazing-0rc4n0s13-1700178760867,99718206ddcd304d4f725e1c6df355c2
catsoup02,Cloudstreef,catsoup02,,,1700179357857,[Gen 7] IF Dex OU,cloudstreef-catsoup02-1700179357855,89be9a51457de7da58bc120deda1009b
Staros,Staros,MrOakwood,,,1700179736626,[Gen 7] IF Dex OU,staros-mroakwood-1700179736626,aa1d29e3a68761228881930a719e6b5e
HUEnd,Elemental9999,HUEnd,,,1700180383140,[Gen 7] IF Dex AG,elemental9999-huend-1700180383140,d15d3d83da366ad8ae5c5d12da71c5e6
TheLigmaConspiracy,TheLigmaConspiracy,Cloudstreef,,,1700180551860,[Gen 7] IF Dex OU,theligmaconspiracy-cloudstreef-1700180551859,ebe9f57f704fc3a9c6e5489fdefca3ca
HUEnd,HUEnd,Jaydend327,,,1700180664206,[Gen 7] IF Dex AG,huend-jaydend327-1700180664206,90561288b731532de729c3162958a4b2
the_shawdoin,TinaTheAmazing,the_shawdoin,,,1700181330536,[Gen 9] IF NatDex OU,tinatheamazing-theshawdoin-1700181330535,8208472c80607a076d18d83e87c1462c
GarrukApexPredator,GarrukApexPredator,EgfKZ43KG6cW8AJF,,,1700181453969,[Gen 7] IF Dex OU,garrukapexpredator-egfkz43kg6cw8ajf-1700181453968,b7acce433e2349111f02bf43da256d17
TheLigmaConspiracy,TheLigmaConspiracy,sergiovicenteg3,,,1700181510844,[Gen 7] IF Dex OU,theligmaconspiracy-sergiovicenteg3-1700181510844,44c941d905ade41fbb38daa0a7797964
FOG-Markos,FOG-Markos,Eternal Flame,,,1700181594565,[Gen 9] IF NatDex OU,fogmarkos-eternalflame-1700181594565,713e5814ba97cc43fb2270d903c75510
HUEnd,Z4ifir,HUEnd,,,1700181685868,[Gen 7] IF Dex AG,z4ifir-huend-1700181685868,a4d9fe9cd629f6cb2342aefeb31e2edf
Staros,jonj65,Staros,,,1700181951334,[Gen 7] IF Dex OU,jonj65-staros-1700181951334,6d87c41d7df505ad466f6ac135512d3f
HUEnd,Iceasaurus,HUEnd,,,1700181971992,[Gen 7] IF Dex AG,iceasaurus-huend-1700181971991,b389be8811ee635fff17e8cb131dfdcd
catsoup02,catsoup02,Ampharos670,,,1700182592424,[Gen 7] IF Dex OU,catsoup02-ampharos670-1700182592424,e8f6002674c9cae813d24db33c3aacc3
yoshifanfic,yoshifanfic,GarrukApexPredator,,,1700183670435,[Gen 7] IF Dex OU,yoshifanfic-garrukapexpredator-1700183670428,58e0f4ec69df669816642acabbc7ca21
Staros,Staros,akuma_71,,,1700183863533,[Gen 7] IF Dex OU,staros-akuma71-1700183863531,466fb5167f63c975d08825caf5beae17
HUEnd,Jaycielantern,HUEnd,,,1700184012285,[Gen 7] IF Dex AG,jaycielantern-huend-1700184012285,164100ababaac12124f8eaac007310f6
0rc4n0s13,0rc4n0s13,kirbystar123,,,1700185380918,[Gen 9] IF NatDex AG,0rc4n0s13-kirbystar123-1700185380917,846e1642d272b650e1fcb1844793386d
Staros,Normie43,Staros,,,1700185584630,[Gen 7] IF Dex OU,normie43-staros-1700185584629,7b6afb1c675fd09110ea0a144a4b040d
Littlemxdoom,FireSword2562,Littlemxdoom,,,1700186700961,[Gen 7] IF Dex Doubles,firesword2562-littlemxdoom-1700186700960,12b411432d1671d5c2d85bc14a275795
Konotton,Konotton,Bananablunt,,,1700187117825,[Gen 7] IF Dex OU,konotton-bananablunt-1700187117824,5aa84b47deb6fefe9631f6e943df529e
the_shawdoin,TinaTheAmazing,the_shawdoin,,,1700187603510,[Gen 9] IF NatDex OU,tinatheamazing-theshawdoin-1700187603509,327e79e0ffba6a2dd0813d142e1ee983
sliponabananapeel,sliponabananapeel,Base Liquids,,,1700188362669,[Gen 7] IF Dex OU,sliponabananapeel-baseliquids-1700188362669,bd49eaac0b517541039d0e420524b698
Kobe81pts,Kobe81pts,DeadByte9,,,1700188396861,[Gen 7] IF Dex AG,kobe81pts-deadbyte9-1700188396860,ef525cfa4e7dc3d413da8e6e9e65d905
Konotton,Konotton,Choosechee,,,1700188635920,[Gen 7] IF Dex OU,konotton-choosechee-1700188635920,92983835168d9ce9d7b2e304d4204603
Konotton,Konotton,sliponabananapeel,,,1700189292637,[Gen 7] IF Dex OU,konotton-sliponabananapeel-1700189292636,7d9b2518769a6ee37eeed048780d1553
CookieGlob,the_shawdoin,CookieGlob,,,1700189472634,[Gen 9] IF NatDex OU,theshawdoin-cookieglob-1700189472633,47fb1c7688ee536d57c383a31a04fc9d
Kamuno,Kamuno,Dirt Donut,,,1700190964629,[Gen 7] IF Dex OU,kamuno-dirtdonut-1700190964629,ccf8a35e18c95263c4928582f837155e
CookieGlob,zer0Koi,CookieGlob,,,1700191229959,[Gen 9] IF NatDex OU,zer0koi-cookieglob-1700191229958,6c4f6ce7418c4d704119f36f9bf6ba83
Konotton,Konotton,Dirt Donut,,,1700191651553,[Gen 7] IF Dex OU,konotton-dirtdonut-1700191651552,c66127ae6b2e6d9ab7ddbedec030a10c
Dirt Donut,Dirt Donut,Camoark,,,1700192622367,[Gen 7] IF Dex OU,dirtdonut-camoark-1700192622366,19b1a6ddb02dc67734e72ad7822defe8
CookieGlob,CookieGlob,CanuckChum,,,1700192957507,[Gen 9] IF NatDex OU,cookieglob-canuckchum-1700192957507,664884880db686d5df4fd47063534320
Sabersmoris,Camoark,Sabersmoris,,,1700193711396,[Gen 9] IF NatDex AG,camoark-sabersmoris-1700193711396,1f64175fdff013dce06c4511ab11a1ec
Sabersmoris,Camoark,Sabersmoris,,,1700194673148,[Gen 9] IF NatDex AG,camoark-sabersmoris-1700194673147,0c131166fcaa6b17bbf4b67cc5fc4358
Seelewheele,CookieGlob,Seelewheele,,,1700196018277,[Gen 9] IF NatDex OU,cookieglob-seelewheele-1700196018276,21a7b2b7d631801d503a68445e980904
SonderOfAll,mindacos,SonderOfAll,,,1700197153718,[Gen 7] IF Dex OU,mindacos-sonderofall-1700197153717,cb0aa7c76384e84a74dd372923965d3a
mindacos,Konotton,mindacos,,,1700197382072,[Gen 7] IF Dex OU,konotton-mindacos-1700197382072,5e6b484a96c1d387e82c2f2ee9784383
mindacos,mindacos,Male Lover,,,1700197656499,[Gen 7] IF Dex OU,mindacos-malelover-1700197656497,5407d0f912b1a7bef1d1b71250a3d360
TheLigmaConspiracy,Base Liquids,TheLigmaConspiracy,,,1700198486487,[Gen 7] IF Dex OU,baseliquids-theligmaconspiracy-1700198486487,829e3bddbbd65222ccf3c80290829aa1
Scuttbugger,eggoverlord,Scuttbugger,,,1700199691189,[Gen 7] IF Dex AG,eggoverlord-scuttbugger-1700199691189,87e8be69c1918b6d6be2ebbb8fc9402f
CookieGlob,Frosty Robins,CookieGlob,,,1700199787604,[Gen 9] IF NatDex OU,frostyrobins-cookieglob-1700199787603,b6773f348f1ea0682294cbaeba1c593e
TheLigmaConspiracy,TheLigmaConspiracy,CrovaxII,,,1700200142840,[Gen 7] IF Dex OU,theligmaconspiracy-crovaxii-1700200142839,d40a9a47668277742bf44c1564b47705
Kamuno,mindacos,Kamuno,,,1700200782924,[Gen 7] IF Dex OU,mindacos-kamuno-1700200782924,79f9633fe6b7b25f0baeb191635ece8b
TheLigmaConspiracy,Dirt Donut,TheLigmaConspiracy,,,1700201661513,[Gen 7] IF Dex OU,dirtdonut-theligmaconspiracy-1700201661513,e048636c39f8fa91d75ea385f9d913d1
Dragonforce375,Dragonforce375,Male Lover,,,1700204374265,[Gen 9] IF NatDex OU,dragonforce375-malelover-1700204374264,6dff27556cecf3063df1cdbc48835737
Konotton,Konotton,Broskilolz,,,1700204568638,[Gen 7] IF Dex OU,konotton-broskilolz-1700204568638,7376af294cdc2d540800c2924e83bbab
Carchawaii,Carchawaii,Kingblocky,,,1700207184479,[Gen 7] IF Dex AG,carchawaii-kingblocky-1700207184478,8f2e4c90daf27ed6c5368e88056ff105
Dead corrals,CEOofGenesect,Dead corrals,,,1700212096568,[Gen 7] IF Dex AG,ceoofgenesect-deadcorrals-1700212096568,a8f7d8da4a1741b797d519358c9d12c3
Carchawaii,deepsink,Carchawaii,,,1700213633585,[Gen 7] IF Dex AG,deepsink-carchawaii-1700213633583,862fe22f65f633e9c8e823f0d383ce97
mindacos,mindacos,WhatDaDogDo1n?,,,1700216215118,[Gen 7] IF Dex AG,mindacos-whatdadogdo1n-1700216215117,294121b1990e6cb62f6c39e9cdebf575
Carchawaii,irfy2k9,Carchawaii,,,1700216455309,[Gen 7] IF Dex AG,irfy2k9-carchawaii-1700216455307,476a68a93d45d8b80942ba8ef549d230
Carchawaii,seyash,Carchawaii,,,1700216995212,[Gen 7] IF Dex AG,seyash-carchawaii-1700216995212,66a6fdf862fd0e3479bd8d109f3ba3a5
Nucleomituphobia,Horridus,Nucleomituphobia,,,1700217632955,[Gen 7] IF Dex AG,horridus-nucleomituphobia-1700217632954,3529cccc2e975b752ced4991b760d34d
F0157,F0157,Skiwjw,,,1700222205021,[Gen 7] IF Dex AG,f0157-skiwjw-1700222205021,a6f6e239b26111dc86a530749fc56b9c
Dead corrals,Carchawaii,Dead corrals,,,1700222388441,[Gen 7] IF Dex AG,carchawaii-deadcorrals-1700222388440,d7c560e7d9459edd30c9fa7838c4d608
Carchawaii,Carchawaii,Whiterisere,,,1700222819587,[Gen 7] IF Dex AG,carchawaii-whiterisere-1700222819587,51e5ad10f35c009cf78e6f66a782f1a1
CEOofGenesect,CEOofGenesect,fish1107,,,1700224428889,[Gen 7] IF Dex OU,ceoofgenesect-fish1107-1700224428889,ec0002be1e8aa65eac14e08b1eb8b735
Guest 4735,Taveno,Fhantazy,,,1700224762995,[Gen 7] IF Dex AG,taveno-fhantazy-1700224762995,161cab0ceecc03bdf20814b4fc022364
Carchawaii,Carchawaii,Skiwjw,,,1700225533313,[Gen 7] IF Dex AG,carchawaii-skiwjw-1700225533313,c863654c501b9048743f434112420344
Milian1,Milian1,Tuesty,,,1700225834665,[Gen 9] IF NatDex AG,milian1-tuesty-1700225834664,573c51559e5cabb4f3a19a1a5b0f93ad
HUEnd,ALTARIEUR26,HUEnd,,,1700226114445,[Gen 7] IF Dex AG,altarieur26-huend-1700226114445,d69740e325f0b45b8445860ef36f9e35
HUEnd,HUEnd,deepsink,,,1700226435881,[Gen 7] IF Dex AG,huend-deepsink-1700226435880,96c1601d16eed95c4cd107e619432172
Kamuno,nasurave,Kamuno,,,1700228111693,[Gen 7] IF Dex OU,nasurave-kamuno-1700228111692,180bdf4aaa2dd23fc1e22207b7d092c7
oddDutchIntrovert,oddDutchIntrovert,ZileanMaster,,,1700228237970,[Gen 7] IF Dex OU,odddutchintrovert-zileanmaster-1700228237969,966d31e7677c933f76694d394bf6f15b
Carchawaii,Carchawaii,Xeradus,,,1700228930619,[Gen 7] IF Dex AG,carchawaii-xeradus-1700228930618,40f75f8a9d506df12d7c0bdbac59a65c
Tuesty,Tuesty,endofdramamine,,,1700230999344,[Gen 9] IF NatDex OU,tuesty-endofdramamine-1700230999344,6f0aade0d1db9366a8ce491538380374
Obsidrugon,Obsidrugon,Bloonship,,,1700233446880,[Gen 9] IF NatDex Doubles,obsidrugon-bloonship-1700233446879,c982f3983c588a0079a8f0b156523e7a
B_Megamaths,Silino,B_Megamaths,,,1700234534897,[Gen 9] IF NatDex AG,silino-bmegamaths-1700234534896,77cad658ff36f66c1364933ba4d8dd50
Horridus,Silino,Horridus,,,1700235550240,[Gen 7] IF Dex AG,silino-horridus-1700235550239,299002f27abf8e26ccb11e6b4012082e
HUEnd,HUEnd,Symbiiose,,,1700237154300,[Gen 7] IF Dex AG,huend-symbiiose-1700237154298,c86bb833b4eb990791adbb68552f0b62
Horridus,Guaka25,Horridus,,,1700237797230,[Gen 7] IF Dex AG,guaka25-horridus-1700237797229,03d2e21d96701092afbe8930e3594999
surpraishd,TheRealKaeldor,surpraishd,,,1700238080075,[Gen 7] IF Dex OU,therealkaeldor-surpraishd-1700238080074,9c56e4469776e894dc64e58303fa76af
Timeshark,Timeshark,Das Psycho,,,1700238201940,[Gen 7] IF Dex OU,timeshark-daspsycho-1700238201939,0565043ad4e87f96d565a40749096d6a
